Name, period, p_err, B, V, binary flag
HAT260-0005200	0.52656878	0.00002398	14.44	13.33
HAT214-0002566	6.43833028	0.00079466	12.92	12.02
HAT260-0008790	0.52656878	0.00001111	15.77	13.60
HAT260-0001390	5.20231845	0.00008726	12.04	11.26
HAT260-0014085	0.85561222	0.00004845	17.75	16.18
HAT260-0011437	0.68825214	0.00002456	17.85	16.20
HAT260-0007277	5.74559854	0.00075632	15.73	14.37
HAT260-0002570	0.42690081	0.00000220	13.88	12.68
HAT260-0002861	7.50251710	0.00014750	13.42	12.40
HAT260-0010635	1.24784133	0.00007053	16.81	15.28
HAT260-0005341	7.09222320	0.00002905	14.94	13.64
HAT260-0005640	0.39763669	0.00000074	14.91	13.52
HAT260-0001925	0.82602782	0.00001551	13.47	12.32
HAT260-0009823	0.37935837	0.00000267	16.77	15.30
HAT260-0001412	5.23230299	0.00062080	12.07	11.30
HAT260-0005998	2.77192235	0.00013159	14.46	13.40
HAT260-0007986	3.83849712	0.00060108	15.63	14.23
HAT260-0000985	3.15758111	0.00020804	11.27	10.56
HAT260-0007299	0.90418782	0.00006495	15.74	14.27
HAT260-0005103	7.14806748	0.00002774	15.00	13.66
HAT260-0001997	3.92988991	0.00049588	13.86	12.61
HAT260-0008827	4.34356253	0.00001128	15.94	14.51
HAT260-0003303	0.57988155	0.00000249	14.00	12.78
HAT260-0003861	7.06462700	0.00086630	13.86	12.79
HAT260-0004857	7.03724472	0.00360801	14.13	13.05
HAT260-0009344	5.17267561	0.00001831	16.04	14.71
HAT260-0002279	6.82559827	0.00058619	13.10	12.08
HAT260-0002018	8.06937395	0.00002195	12.93	11.88
HAT260-0007928	1.99956954	0.00004816	16.72	15.20
HAT260-0000639	2.84578235	0.00039724	10.76	10.15
HAT260-0001893	5.91403628	0.00106469	12.58	11.71
HAT260-0007320	1.39127137	0.00002416	15.46	14.20
HAT260-0001743	5.93336320	0.00096295	12.39	11.55
HAT260-0006368	6.57829398	0.00002366	15.30	13.96
HAT260-0000875	3.08777064	0.00027981	11.06	10.41
HAT260-0000950	1.72095653	0.00002572	11.17	10.52
HAT260-0003661	5.21726764	0.00123439	14.23	13.02
